feature,label,block,shap_protest,shap_strike
fe__country_iso3_GRC,Country Iso3 Grc,Country FE,0.001021,0.0
fe__country_iso3_ITA,Country Iso3 Ita,Country FE,0.000667,0.000971
fe__country_iso3_TUR,Country Iso3 Tur,Country FE,0.000843,0.0
fe__country_iso3_PER,Country Iso3 Per,Country FE,0.000456,0.0
num__fao_food_index_yoy_above90,FAO Food >90th Pct.,FAO / GTA (M4),0.0,0.0
num__fao_cereals_index_yoy_above90,FAO Cereals >90th Pct.,FAO / GTA (M4),0.0,0.0
fe__country_iso3_NLD,Country Iso3 Nld,Country FE,0.0,0.0
fe__country_iso3_NOR,Country Iso3 Nor,Country FE,0.0,0.0
fe__country_iso3_KEN,Country Iso3 Ken,Country FE,0.0,0.0
fe__country_iso3_ESP,Country Iso3 Esp,Country FE,0.0,0.0
fe__country_iso3_VNM,Country Iso3 Vnm,Country FE,0.0,0.0
num__covid_period,COVID Period,Structural (M3),0.0,0.0
fe__country_iso3_THA,Country Iso3 Tha,Country FE,0.0,0.0
fe__country_iso3_MEX,Country Iso3 Mex,Country FE,0.0,0.0
num__gta_liberalising_events,GTA Liberalising Events,FAO / GTA (M4),0.0,0.0
num__gta_harmful_events,GTA Harmful Events,FAO / GTA (M4),0.0,0.0
