url_normalized,top_expert,top_expert_p,actiongeo_lat,actiongeo_lon,sqldate,dateadded
https://www.stripes.com/news/us/hundreds-of-thousands-of-women-protest-against-trump-1.450059,protests,0.9688389274138656,45.7326,-93.9196,20170121,20170121200000
http://wncn.com/ap/the-latest-womens-march-protests-taking-place-worldwide/,protests,0.9686228324789876,35.2271,-80.8431,20170121,20170121151500
http://www.sgvtribune.com/general-news/20170120/montebello-unified-workers-protest-against-potential-layoffs-call-for-no-more-lies,protests,0.968158541751117,34.0333,-118.037,20170121,20170121011500
http://www.freepressjournal.in/mumbai/mumbai-shorts-protest-over-college-dress-code/1006008,protests,0.968026361576257,18.975,72.8258,20170121,20170121074500
http://www.ibtimes.co.in/protesters-gather-outside-us-embassy-in-london-in-anti-trump-protest-713135,protests,0.96750506299531,51.5,-0.116667,20170121,20170121144500
http://www.sharenet.co.za/news/Women_stage_massive_antiTrump_protests_across_US/502ef9a5795a016ce0dd550334834461,protests,0.9671411138243172,41.85,-87.6501,20170121,20170121213000
https://www.pressandjournal.co.uk/pipe/1147706/thousands-protest-against-trump-presidency-in-the-us-and-around-the-world/,protests,0.9664655249751803,14.6042,120.982,20170121,20170121093000
http://www.tallahassee.com/story/news/2017/01/20/student-activists-protest-trumps-policies-actions/96845718/,protests,0.966265446457923,47.0432,-122.9,20170121,20170121071500
http://www.pajhwok.com/en/2017/01/21/kunduz-doctors-rally-boycott-duty-protest,protests,0.964997424424224,36.729,68.857,20170121,20170121150000
http://metro.co.uk/2017/01/21/in-pics-thousands-join-london-womens-march-to-protest-against-president-donald-trump-6396335/,protests,0.9643853508023128,51.5,-0.116667,20170121,20170121133000
http://www.theday.com/nationworld/20170121/hundreds-of-thousands-of-women-protest-against-trump,protests,0.963768309705828,59.9167,10.75,20170121,20170121221500
http://antiguaobserver.com/upp-protest-budget/,protests,0.9630537893889514,17.05,-61.8,20170121,20170121100000
http://www.bbc.co.uk/news/uk-scotland-38704353,protests,0.962785547007796,,,20170121,20170121201500
