feature,label,block,shap_protest,shap_strike
fe__country_iso3_NOR,Country Iso3 Nor,Country FE,0.003647,0.0
num__gta_harmful_events,GTA Harmful Events,FAO / GTA (M4),0.0,0.002999
fe__country_iso3_ESP,Country Iso3 Esp,Country FE,0.00149,0.002817
fe__country_iso3_IDN,Country Iso3 Idn,Country FE,0.000471,0.002646
fe__country_iso3_ITA,Country Iso3 Ita,Country FE,0.0,0.002462
fe__country_iso3_NLD,Country Iso3 Nld,Country FE,0.000533,0.002453
num__platinum_pct_30d_x_plat_prod,Platinum×Production,Structural (M3),0.0,0.002396
fe__country_iso3_PER,Country Iso3 Per,Country FE,0.0,0.002104
fe__country_iso3_MEX,Country Iso3 Mex,Country FE,0.001493,0.001052
fe__country_iso3_BRA,Country Iso3 Bra,Country FE,0.0,0.001409
fe__country_iso3_VNM,Country Iso3 Vnm,Country FE,0.0,0.001151
fe__country_iso3_THA,Country Iso3 Tha,Country FE,0.000952,0.000656
num__fao_food_index_yoy_above90,FAO Food >90th Pct.,FAO / GTA (M4),0.000489,0.000487
num__covid_period,COVID Period,Structural (M3),0.0,0.0
fe__country_iso3_TUR,Country Iso3 Tur,Country FE,0.0,0.0
num__fao_cereals_index_yoy_above90,FAO Cereals >90th Pct.,FAO / GTA (M4),0.0,0.0
num__gta_liberalising_events,GTA Liberalising Events,FAO / GTA (M4),0.0,0.0
