feature,importance,fold_id,event_type,horizon,model_name,target
fe__country_iso3_ITA,0.0,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_JPN,0.022063408,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_KEN,0.0065006805,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_KOR,0.010189474,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_LAO,0.0048332447,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_MAR,0.0,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_MEX,0.0,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_MOZ,0.010213478,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_MYS,0.032411706,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_NAM,0.018259075,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_NLD,0.024350395,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_NOR,0.017068652,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_PER,0.0,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_PHL,0.020893164,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_POL,0.018345451,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_PRT,0.019162863,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_SWE,0.01558489,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_THA,0.0,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_TUR,0.01658689,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_USA,0.00598283,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_VNM,0.016006783,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_ZAF,0.02080296,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_ZWE,0.02924283,2,protest,7,model6_xgb_nolag,protest_7d
num__fx_pct_7d,0.00090885715,1,strike,7,model6_xgb_nolag,strike_7d
num__fx_pct_30d,0.001557079,1,strike,7,model6_xgb_nolag,strike_7d
num__fx_pct_90d,0.0023919044,1,strike,7,model6_xgb_nolag,strike_7d
num__fx_vol_7d,0.0025275985,1,strike,7,model6_xgb_nolag,strike_7d
num__fx_vol_30d,0.0041240472,1,strike,7,model6_xgb_nolag,strike_7d
num__oil_brent_pct_14d,0.0017416307,1,strike,7,model6_xgb_nolag,strike_7d
num__oil_brent_pct_30d,0.00078153977,1,strike,7,model6_xgb_nolag,strike_7d
num__yield_us10y,0.0013020763,1,strike,7,model6_xgb_nolag,strike_7d
num__fx_pct_30d_z,0.0026325348,1,strike,7,model6_xgb_nolag,strike_7d
num__fx_vol_30d_z,0.0018691416,1,strike,7,model6_xgb_nolag,strike_7d
num__oil_brent_pct_30d_z,0.0010729166,1,strike,7,model6_xgb_nolag,strike_7d
num__copper_pct_30d,0.0014188109,1,strike,7,model6_xgb_nolag,strike_7d
num__copper_pct_90d,0.0020674835,1,strike,7,model6_xgb_nolag,strike_7d
num__copper_vol_30d,0.0016601563,1,strike,7,model6_xgb_nolag,strike_7d
num__gold_pct_30d,0.0011156908,1,strike,7,model6_xgb_nolag,strike_7d
num__gold_vol_30d,0.0011601635,1,strike,7,model6_xgb_nolag,strike_7d
num__platinum_pct_30d,0.0012668626,1,strike,7,model6_xgb_nolag,strike_7d
num__silver_pct_30d,0.0016000962,1,strike,7,model6_xgb_nolag,strike_7d
num__natgas_pct_30d,0.0006580061,1,strike,7,model6_xgb_nolag,strike_7d
num__vix_level,0.0009011819,1,strike,7,model6_xgb_nolag,strike_7d
num__vix_pct_30d,0.0010230496,1,strike,7,model6_xgb_nolag,strike_7d
num__vix_7d_ma,0.00079492654,1,strike,7,model6_xgb_nolag,strike_7d
num__dxy_level,0.0022914645,1,strike,7,model6_xgb_nolag,strike_7d
num__dxy_pct_30d,0.00084970717,1,strike,7,model6_xgb_nolag,strike_7d
num__dxy_vol_30d,0.0010974889,1,strike,7,model6_xgb_nolag,strike_7d
num__oil_brent_pct_30d_lag30d,0.0015997794,1,strike,7,model6_xgb_nolag,strike_7d
num__oil_brent_pct_30d_lag60d,0.0023541488,1,strike,7,model6_xgb_nolag,strike_7d
num__oil_brent_pct_30d_lag90d,0.001137294,1,strike,7,model6_xgb_nolag,strike_7d
num__vix_pct_30d_lag30d,0.0011205982,1,strike,7,model6_xgb_nolag,strike_7d
num__vix_pct_30d_lag60d,0.0018279132,1,strike,7,model6_xgb_nolag,strike_7d
num__fx_pct_30d_lag30d,0.0017540486,1,strike,7,model6_xgb_nolag,strike_7d
num__fx_pct_30d_lag60d,0.0012017328,1,strike,7,model6_xgb_nolag,strike_7d
num__gdp_growth,0.006946653,1,strike,7,model6_xgb_nolag,strike_7d
num__gdp_per_capita_growth,0.0128213195,1,strike,7,model6_xgb_nolag,strike_7d
num__inflation_cpi_yoy,0.019894848,1,strike,7,model6_xgb_nolag,strike_7d
num__inflation_cpi_yoy_z,0.0067670774,1,strike,7,model6_xgb_nolag,strike_7d
num__unemployment_total,0.02996859,1,strike,7,model6_xgb_nolag,strike_7d
num__unemployment_youth,0.032761373,1,strike,7,model6_xgb_nolag,strike_7d
num__unemployment_sa,0.011578484,1,strike,7,model6_xgb_nolag,strike_7d
num__unemployment_rate,0.012978549,1,strike,7,model6_xgb_nolag,strike_7d
num__unemployment_rate_z,0.0064279744,1,strike,7,model6_xgb_nolag,strike_7d
num__political_stability_est,0.011907462,1,strike,7,model6_xgb_nolag,strike_7d
num__voice_accountability_est,0.02945181,1,strike,7,model6_xgb_nolag,strike_7d
num__government_effectiveness_est,0.029159283,1,strike,7,model6_xgb_nolag,strike_7d
num__rule_of_law_est,0.05945013,1,strike,7,model6_xgb_nolag,strike_7d
num__fx_pct_30d_x_instability,0.0013240715,1,strike,7,model6_xgb_nolag,strike_7d
num__oil_brent_pct_30d_x_inflation,0.00073326397,1,strike,7,model6_xgb_nolag,strike_7d
num__food_cpi_inflation,0.006788751,1,strike,7,model6_xgb_nolag,strike_7d
num__food_cpi_inflation_z,0.0033137118,1,strike,7,model6_xgb_nolag,strike_7d
num__energy_cpi_inflation,0.0088925,1,strike,7,model6_xgb_nolag,strike_7d
num__energy_cpi_inflation_z,0.003161577,1,strike,7,model6_xgb_nolag,strike_7d
num__gini_coef,0.065887734,1,strike,7,model6_xgb_nolag,strike_7d
num__covid_period,0.0,1,strike,7,model6_xgb_nolag,strike_7d
num__fx_trend_consistent,0.0011750351,1,strike,7,model6_xgb_nolag,strike_7d
num__inflation_accel,0.0,1,strike,7,model6_xgb_nolag,strike_7d
num__copper_pct_30d_x_copper_prod,0.0,1,strike,7,model6_xgb_nolag,strike_7d
num__gold_pct_30d_x_gold_prod,0.0,1,strike,7,model6_xgb_nolag,strike_7d
num__platinum_pct_30d_x_plat_prod,0.055548348,1,strike,7,model6_xgb_nolag,strike_7d
num__oil_brent_pct_30d_x_net_importer,0.0019097759,1,strike,7,model6_xgb_nolag,strike_7d
num__month_sin,0.000971816,1,strike,7,model6_xgb_nolag,strike_7d
num__month_cos,0.0016230278,1,strike,7,model6_xgb_nolag,strike_7d
num__fao_food_index_yoy,0.0003783006,1,strike,7,model6_xgb_nolag,strike_7d
num__fao_cereals_index_yoy,0.0019393117,1,strike,7,model6_xgb_nolag,strike_7d
num__fao_oils_index_yoy,0.0,1,strike,7,model6_xgb_nolag,strike_7d
num__fao_food_index_yoy_above90,0.0,1,strike,7,model6_xgb_nolag,strike_7d
num__fao_cereals_index_yoy_above90,0.0,1,strike,7,model6_xgb_nolag,strike_7d
num__fao_cereals_index_yoy_lag1m,0.0028515826,1,strike,7,model6_xgb_nolag,strike_7d
num__fao_cereals_index_yoy_lag3m,0.0028498834,1,strike,7,model6_xgb_nolag,strike_7d
num__fao_cereals_index_yoy_lag6m,0.0019858824,1,strike,7,model6_xgb_nolag,strike_7d
num__fao_food_index_yoy_lag1m,0.002187217,1,strike,7,model6_xgb_nolag,strike_7d
num__fao_food_index_yoy_lag3m,0.0,1,strike,7,model6_xgb_nolag,strike_7d
num__fao_food_index_yoy_lag6m,0.0026887034,1,strike,7,model6_xgb_nolag,strike_7d
num__fao_oils_index_yoy_lag1m,0.0,1,strike,7,model6_xgb_nolag,strike_7d
