feature,coefficient,fold_id,event_type,horizon,model_name,target
fe__country_iso3_PRT,-1.3117145997223325,2,protest,7,model2_full,protest_7d
fe__country_iso3_SWE,-0.8143519108457907,2,protest,7,model2_full,protest_7d
fe__country_iso3_THA,0.7886266914206135,2,protest,7,model2_full,protest_7d
fe__country_iso3_TUR,0.7020793752342915,2,protest,7,model2_full,protest_7d
fe__country_iso3_USA,2.715892274513357,2,protest,7,model2_full,protest_7d
fe__country_iso3_VNM,-1.6328585916828728,2,protest,7,model2_full,protest_7d
fe__country_iso3_ZAF,1.4632729563603533,2,protest,7,model2_full,protest_7d
fe__country_iso3_ZWE,1.9409642114529575,2,protest,7,model2_full,protest_7d
num__gdelt_protest_7d_lag,0.1699848222243117,1,strike,7,model2_full,strike_7d
num__gdelt_strike_7d_lag,0.1573813302924804,1,strike,7,model2_full,strike_7d
num__gdelt_strike_28d_lag,0.3582888049304288,1,strike,7,model2_full,strike_7d
num__gdelt_protest_region_14d,-0.1087249378560873,1,strike,7,model2_full,strike_7d
num__gdelt_strike_region_14d,-0.009399265131507,1,strike,7,model2_full,strike_7d
num__fx_pct_7d,-0.3990708928977374,1,strike,7,model2_full,strike_7d
num__fx_pct_30d,-0.2808363073726284,1,strike,7,model2_full,strike_7d
num__fx_pct_90d,0.0992876526889151,1,strike,7,model2_full,strike_7d
num__fx_vol_7d,-0.2069692965578786,1,strike,7,model2_full,strike_7d
num__fx_vol_30d,-0.034288967352695,1,strike,7,model2_full,strike_7d
num__oil_brent_pct_14d,0.0493165609606602,1,strike,7,model2_full,strike_7d
num__oil_brent_pct_30d,-0.0139017263572263,1,strike,7,model2_full,strike_7d
num__yield_us10y,0.052333958477612,1,strike,7,model2_full,strike_7d
num__fx_pct_30d_z,0.0285435107355964,1,strike,7,model2_full,strike_7d
num__fx_vol_30d_z,-0.0562724541189362,1,strike,7,model2_full,strike_7d
num__copper_pct_30d,-0.0974234145769453,1,strike,7,model2_full,strike_7d
num__copper_pct_90d,0.0712136249100913,1,strike,7,model2_full,strike_7d
num__copper_vol_30d,0.0820771227035514,1,strike,7,model2_full,strike_7d
num__gold_pct_30d,-0.0360422360418547,1,strike,7,model2_full,strike_7d
num__gold_vol_30d,0.0476401577726943,1,strike,7,model2_full,strike_7d
num__platinum_pct_30d,0.1755691899361094,1,strike,7,model2_full,strike_7d
num__silver_pct_30d,0.0108970761918735,1,strike,7,model2_full,strike_7d
num__natgas_pct_30d,-0.0604240289073154,1,strike,7,model2_full,strike_7d
num__vix_pct_30d,-0.1130590408628347,1,strike,7,model2_full,strike_7d
num__vix_7d_ma,0.0925356765204275,1,strike,7,model2_full,strike_7d
num__dxy_level,0.0644239920903147,1,strike,7,model2_full,strike_7d
num__dxy_pct_30d,-0.0470395559097354,1,strike,7,model2_full,strike_7d
num__dxy_vol_30d,0.0272463555276832,1,strike,7,model2_full,strike_7d
num__oil_brent_pct_30d_lag30d,-0.027855671899262,1,strike,7,model2_full,strike_7d
num__oil_brent_pct_30d_lag60d,0.0507840791740099,1,strike,7,model2_full,strike_7d
num__oil_brent_pct_30d_lag90d,0.0001339124320666,1,strike,7,model2_full,strike_7d
num__vix_pct_30d_lag30d,0.0306109478839413,1,strike,7,model2_full,strike_7d
num__vix_pct_30d_lag60d,0.0334571132283613,1,strike,7,model2_full,strike_7d
num__fx_pct_30d_lag30d,0.0167437662743072,1,strike,7,model2_full,strike_7d
num__fx_pct_30d_lag60d,0.2705447154326982,1,strike,7,model2_full,strike_7d
num__gdp_growth,0.0162754183145914,1,strike,7,model2_full,strike_7d
num__inflation_cpi_yoy,-0.2747222070147025,1,strike,7,model2_full,strike_7d
num__inflation_cpi_yoy_z,-0.0976975318543633,1,strike,7,model2_full,strike_7d
num__unemployment_youth,0.246448731618253,1,strike,7,model2_full,strike_7d
num__unemployment_rate_z,0.1934713830595003,1,strike,7,model2_full,strike_7d
num__political_stability_est,0.1335523862798689,1,strike,7,model2_full,strike_7d
num__voice_accountability_est,-0.0512570328823023,1,strike,7,model2_full,strike_7d
num__government_effectiveness_est,0.6002539444696485,1,strike,7,model2_full,strike_7d
num__fx_pct_30d_x_instability,0.3110092942062042,1,strike,7,model2_full,strike_7d
num__oil_brent_pct_30d_x_inflation,-0.0445638780851509,1,strike,7,model2_full,strike_7d
num__food_cpi_inflation,0.0571409798826356,1,strike,7,model2_full,strike_7d
num__food_cpi_inflation_z,0.0123570783686942,1,strike,7,model2_full,strike_7d
num__energy_cpi_inflation,0.0892847389775207,1,strike,7,model2_full,strike_7d
num__energy_cpi_inflation_z,-0.0138449575417009,1,strike,7,model2_full,strike_7d
fe__country_iso3_AUS,1.6650855270947391,1,strike,7,model2_full,strike_7d
fe__country_iso3_BOL,-1.913428858547542,1,strike,7,model2_full,strike_7d
fe__country_iso3_BRA,0.1266673208468395,1,strike,7,model2_full,strike_7d
fe__country_iso3_CAN,2.185844502450598,1,strike,7,model2_full,strike_7d
fe__country_iso3_CHL,-0.0568852314668645,1,strike,7,model2_full,strike_7d
fe__country_iso3_CHN,0.1899177874101679,1,strike,7,model2_full,strike_7d
fe__country_iso3_DEU,0.709680433105222,1,strike,7,model2_full,strike_7d
fe__country_iso3_ESP,-0.3073699072543016,1,strike,7,model2_full,strike_7d
fe__country_iso3_FRA,0.6841344932834695,1,strike,7,model2_full,strike_7d
fe__country_iso3_GBR,3.216125146760548,1,strike,7,model2_full,strike_7d
fe__country_iso3_GRC,-0.2952097895523629,1,strike,7,model2_full,strike_7d
fe__country_iso3_HUN,-1.2414131222977502,1,strike,7,model2_full,strike_7d
