iso3,cowcode,year,month,protest_count,participant_sum
BGD,771,2018,12,7,200.0
BGD,771,2019,1,22,12200.0
BGD,771,2019,2,1,0.0
BGD,771,2019,3,1,0.0
BGD,771,2019,4,7,1600.0
BGD,771,2019,5,14,1200.0
BGD,771,2019,6,1,0.0
BGD,771,2019,7,4,0.0
BGD,771,2019,9,7,200.0
BGD,771,2019,10,28,40000.0
BGD,771,2019,11,26,100.0
BGD,771,2019,12,2,0.0
BGD,771,2020,1,13,12500.0
BGD,771,2020,4,7,450.0
BGD,771,2020,5,1,1000.0
BGD,771,2020,6,2,4000.0
BGD,771,2020,9,1,100.0
BGD,771,2020,10,8,450.0
BGD,771,2020,11,2,0.0
BGD,771,2020,12,2,342.0
BGD,771,2021,2,16,2200.0
BGD,771,2021,3,17,1500.0
BGD,771,2021,4,4,0.0
BGD,771,2021,5,7,0.0
BGD,771,2021,6,1,0.0
BGD,771,2021,10,18,25000.0
BGD,771,2021,11,5,0.0
BGD,771,2022,1,3,0.0
BGD,771,2022,3,5,0.0
BGD,771,2022,6,4,0.0
BGD,771,2022,7,3,0.0
BGD,771,2022,8,3,4000.0
BGD,771,2022,9,2,5000.0
BGD,771,2022,12,6,100000.0
BHR,692,2017,1,5,0.0
BHR,692,2017,2,6,0.0
BHR,692,2017,3,1,0.0
BHR,692,2017,5,13,0.0
BHR,692,2017,11,1,0.0
BHR,692,2018,2,2,0.0
BHR,692,2018,10,1,0.0
BHR,692,2018,11,4,0.0
BHR,692,2019,2,1,0.0
BHR,692,2020,2,4,0.0
BHR,692,2020,9,1,0.0
BHR,692,2021,2,1,0.0
BHR,692,2021,4,1,0.0
BHR,692,2021,6,1,0.0
BHR,692,2022,2,2,0.0
BHR,692,2022,11,1,0.0
BLR,370,2017,1,1,0.0
BLR,370,2017,2,44,48240.0
BLR,370,2017,3,95,30585.0
BLR,370,2017,4,5,1030.0
BLR,370,2017,5,8,31700.0
BLR,370,2017,7,7,300.0
BLR,370,2017,9,11,1140.0
BLR,370,2017,10,8,390.0
BLR,370,2017,11,1,100.0
BLR,370,2018,5,2,230.0
BLR,370,2018,6,3,0.0
BLR,370,2018,7,5,140.0
BLR,370,2018,10,1,200.0
BLR,370,2018,12,1,250.0
BLR,370,2019,3,7,2300.0
BLR,370,2019,4,6,650.0
BLR,370,2019,6,1,0.0
BLR,370,2019,9,2,0.0
BLR,370,2019,10,2,160.0
BLR,370,2019,11,6,610.0
BLR,370,2019,12,18,4640.0
BLR,370,2020,1,2,80.0
BLR,370,2020,2,1,0.0
BLR,370,2020,4,6,380.0
BLR,370,2020,5,28,3400.0
BLR,370,2020,6,33,3600.0
BLR,370,2020,7,51,317250.0
BLR,370,2020,8,352,5722840.0
BLR,370,2020,9,196,1038600.0
BLR,370,2020,10,161,1950050.0
BLR,370,2020,11,102,45830.0
