feature,coefficient,fold_id,horizon,model_name
num__fx_pct_7d,0.08458274524633956,3,7,model4_fao
num__fx_pct_30d,-0.10332726959621856,3,7,model4_fao
num__fx_pct_90d,0.06562494549874058,3,7,model4_fao
num__fx_vol_7d,0.06123550714554928,3,7,model4_fao
num__fx_vol_30d,0.12409817252125081,3,7,model4_fao
num__oil_brent_pct_14d,-0.017558225660316305,3,7,model4_fao
num__oil_brent_pct_30d,0.057445284494827185,3,7,model4_fao
num__yield_us10y,0.6505641533133126,3,7,model4_fao
num__fx_pct_30d_z,0.009022101413363,3,7,model4_fao
num__fx_vol_30d_z,-0.03690048688521957,3,7,model4_fao
num__oil_brent_pct_30d_z,-0.025782151108573594,3,7,model4_fao
num__gdp_growth,-0.518912297525536,3,7,model4_fao
num__gdp_growth_z,1.3136626059521666,3,7,model4_fao
num__gdp_per_capita_growth,0.11141516137163752,3,7,model4_fao
num__gdp_per_capita_growth_z,-0.8983169824281941,3,7,model4_fao
num__inflation_cpi_yoy,-0.066846715270531,3,7,model4_fao
num__inflation_cpi_yoy_z,0.02711158488193487,3,7,model4_fao
num__unemployment_total,0.7027908037835687,3,7,model4_fao
num__unemployment_total_z,-0.6338572043651133,3,7,model4_fao
num__unemployment_youth,-0.009744705905017697,3,7,model4_fao
num__unemployment_youth_z,0.6186764149664157,3,7,model4_fao
num__unemployment_sa,0.2334285542956691,3,7,model4_fao
num__unemployment_sa_z,0.2540263291928058,3,7,model4_fao
num__unemployment_rate,-0.7496955058914052,3,7,model4_fao
num__unemployment_rate_z,0.09370291968337648,3,7,model4_fao
num__earnings_monthly,-0.05241823982516312,3,7,model4_fao
num__earnings_monthly_z,0.0014649900414274223,3,7,model4_fao
num__political_stability_est,-0.8779982948377831,3,7,model4_fao
num__political_stability_est_z,0.08152600883534689,3,7,model4_fao
num__voice_accountability_est,-0.6057502588743023,3,7,model4_fao
num__voice_accountability_est_z,0.2154177983892008,3,7,model4_fao
num__government_effectiveness_est,1.5141791654265082,3,7,model4_fao
num__government_effectiveness_est_z,-0.07296825126110577,3,7,model4_fao
num__rule_of_law_est,-0.822293416617189,3,7,model4_fao
num__rule_of_law_est_z,-0.20362208074673438,3,7,model4_fao
num__fx_pct_30d_x_instability,-0.16068314680283008,3,7,model4_fao
num__oil_brent_pct_30d_x_inflation,0.009873841041338136,3,7,model4_fao
num__economic_stress_index,-0.04702894069005741,3,7,model4_fao
num__economic_stress_index_z,0.0582386285660355,3,7,model4_fao
num__labour_conflict_index,0.03854760821319773,3,7,model4_fao
num__labour_conflict_index_z,-0.01795122584120152,3,7,model4_fao
num__protest_mobilisation_index,0.0037419292967237876,3,7,model4_fao
num__protest_mobilisation_index_z,-0.0038475873689430206,3,7,model4_fao
num__food_cpi_inflation,-0.14511129156419011,3,7,model4_fao
num__food_cpi_inflation_z,-0.17650715654541888,3,7,model4_fao
num__energy_cpi_inflation,0.05121066437490485,3,7,model4_fao
num__energy_cpi_inflation_z,-0.0012270653528842594,3,7,model4_fao
num__month_sin,0.048695501350801744,3,7,model4_fao
num__month_cos,-0.0183095024411748,3,7,model4_fao
num__fao_food_index_yoy,-0.8834853178091849,3,7,model4_fao
num__fao_cereals_index_yoy,0.2169048784554895,3,7,model4_fao
num__fao_oils_index_yoy,1.0440875145339883,3,7,model4_fao
num__fao_food_index_yoy_above90,0.17181965275691344,3,7,model4_fao
