"id","indicator","indicator.label","freq","freq.label","rep_var","rep_var.label","classification","data.start","data.end","last.update","n.records","n.ref_area","with.region","collection","collection.label","subject","subject.label","database","database.label"
"POP_XWAP_SEX_AGE_LMS_NB_M","POP_XWAP_SEX_AGE_LMS_NB","Working-age population by sex, age and labour market status (thousands)","M","Monthly","POP_XWAP_NB","Working-age population","SEX,AGE,LMS",1976,2026,"14/02/2026 08:03:12",682236,16,,"STI","Short-term labour force indicators (STLFS)","POP","Population","LFS","Labour Force Statistics (LFS)"
"POP_XWAP_SEX_EDU_NB_A","POP_XWAP_SEX_EDU_NB","Working-age population by sex and education (thousands)","A","Annual","POP_XWAP_NB","Working-age population","SEX,EDU",1970,2025,"25/02/2026 07:05:32",93820,178,,"YI","Annual indicators","POP","Population","EMI","Education and Mismatch Indicators (EMI)"
"POP_XWAP_SEX_EDU_NB_Q","POP_XWAP_SEX_EDU_NB","Working-age population by sex and education (thousands)","Q","Quarterly","POP_XWAP_NB","Working-age population","SEX,EDU",1987,2025,"24/02/2026 07:05:22",248645,98,,"STI","Short-term labour force indicators (STLFS)","POP","Population","EMI","Education and Mismatch Indicators (EMI)"
"POP_XWAP_SEX_EDU_NB_M","POP_XWAP_SEX_EDU_NB","Working-age population by sex and education (thousands)","M","Monthly","POP_XWAP_NB","Working-age population","SEX,EDU",1990,2026,"14/02/2026 08:03:12",49371,15,,"STI","Short-term labour force indicators (STLFS)","POP","Population","EMI","Education and Mismatch Indicators (EMI)"
"POP_XWAP_SEX_EDU_GEO_NB_A","POP_XWAP_SEX_EDU_GEO_NB","Working-age population by sex, education and rural / urban areas (thousands)","A","Annual","POP_XWAP_NB","Working-age population","SEX,EDU,GEO",1970,2025,"16/02/2026 19:40:09",223051,146,,"YI","Annual indicators","POP","Population","EMI","Education and Mismatch Indicators (EMI)"
"POP_XWAP_SEX_EDU_GEO_NB_Q","POP_XWAP_SEX_EDU_GEO_NB","Working-age population by sex, education and rural / urban areas (thousands)","Q","Quarterly","POP_XWAP_NB","Working-age population","SEX,EDU,GEO",1987,2025,"16/02/2026 19:30:53",236458,83,,"STI","Short-term labour force indicators (STLFS)","POP","Population","EMI","Education and Mismatch Indicators (EMI)"
"POP_XWAP_SEX_EDU_MTS_NB_A","POP_XWAP_SEX_EDU_MTS_NB","Working-age population by sex, education and marital status (thousands)","A","Annual","POP_XWAP_NB","Working-age population","SEX,EDU,MTS",1970,2025,"25/02/2026 07:05:32",614953,171,,"YI","Annual indicators","POP","Population","EMI","Education and Mismatch Indicators (EMI)"
"POP_XWAP_SEX_EDU_MTS_NB_Q","POP_XWAP_SEX_EDU_MTS_NB","Working-age population by sex, education and marital status (thousands)","Q","Quarterly","POP_XWAP_NB","Working-age population","SEX,EDU,MTS",1987,2025,"24/02/2026 07:05:22",194000,75,,"STI","Short-term labour force indicators (STLFS)","POP","Population","EMI","Education and Mismatch Indicators (EMI)"
"POP_XWAP_SEX_EDU_DSB_NB_A","POP_XWAP_SEX_EDU_DSB_NB","Working-age population by sex, education and disability status (thousands)","A","Annual","POP_XWAP_NB","Working-age population","SEX,EDU,DSB",1996,2025,"14/02/2026 08:09:21",47568,123,,"YI","Annual indicators","POP","Population","DLMI","Disability Labour Market Indicators (DLMI)"
"MST_XWAP_SEX_EDU_CBR_NB_A","MST_XWAP_SEX_EDU_CBR_NB","Working-age population by sex, education and place of birth (thousands)","A","Annual","MST_XWAP_NB","Working-age population","SEX,EDU,CBR",1990,2024,"19/02/2026 12:01:07",181600,151,,"ILMS","International labour migration statistics (ILMS)","MST","International migrant stock","ILMS","International Labour Migration Statistics (ILMS)"
