id,indicator,indicator.label,freq,freq.label,rep_var,rep_var.label,classification,data.start,data.end,last.update,n.records,n.ref_area,with.region,collection,collection.label,subject,subject.label,database,database.label
EAP_3WAP_SEX_AGE_DSB_RT_A,EAP_3WAP_SEX_AGE_DSB_RT,"Youth labour force participation rate by sex, age and disability status (%)",A,Annual,EAP_3WAP_RT,Youth labour force participation rate (previous ILO definition),"SEX,AGE,DSB",1996,2025,14/02/2026 08:11:06,33992,133,,YOUTHSTATS,Youth Labour Market Indicators (YouthSTATS),EAP,Labour force,YOUTHSTATS,Youth Labour Market Indicators (YouthSTATS)
EAP_3WAP_SEX_AGE_STU_RT_A,EAP_3WAP_SEX_AGE_STU_RT,"Youth labour force participation rate by sex, age and school attendance status (%)",A,Annual,EAP_3WAP_RT,Youth labour force participation rate (previous ILO definition),"SEX,AGE,STU",1970,2025,25/02/2026 07:06:06,88896,173,,YOUTHSTATS,Youth Labour Market Indicators (YouthSTATS),EAP,Labour force,YOUTHSTATS,Youth Labour Market Indicators (YouthSTATS)
UNE_3EAP_SEX_AGE_DSB_RT_A,UNE_3EAP_SEX_AGE_DSB_RT,"Youth unemployment rate by sex, age and disability status (%)",A,Annual,UNE_3EAP_RT,Youth unemployment rate (previous ILO definition),"SEX,AGE,DSB",1996,2025,14/02/2026 08:11:06,30935,133,,YOUTHSTATS,Youth Labour Market Indicators (YouthSTATS),UNE,Unemployment,YOUTHSTATS,Youth Labour Market Indicators (YouthSTATS)
UNE_3EAP_SEX_AGE_GEO_RT_A,UNE_3EAP_SEX_AGE_GEO_RT,"Youth unemployment rate by sex, age and rural / urban areas (%)",A,Annual,UNE_3EAP_RT,Youth unemployment rate (previous ILO definition),"SEX,AGE,GEO",1970,2025,16/02/2026 19:44:09,68571,146,,YOUTHSTATS,Youth Labour Market Indicators (YouthSTATS),UNE,Unemployment,YOUTHSTATS,Youth Labour Market Indicators (YouthSTATS)
UNE_3EAP_SEX_AGE_EDU_RT_A,UNE_3EAP_SEX_AGE_EDU_RT,"Youth unemployment rate by sex, age and education (%)",A,Annual,UNE_3EAP_RT,Youth unemployment rate (previous ILO definition),"SEX,AGE,EDU",1970,2025,25/02/2026 07:06:06,131511,177,,YOUTHSTATS,Youth Labour Market Indicators (YouthSTATS),UNE,Unemployment,YOUTHSTATS,Youth Labour Market Indicators (YouthSTATS)
UNE_3EAP_SEX_AGE_STU_RT_A,UNE_3EAP_SEX_AGE_STU_RT,"Youth unemployment rate by sex, age and school attendance status (%)",A,Annual,UNE_3EAP_RT,Youth unemployment rate (previous ILO definition),"SEX,AGE,STU",1970,2025,25/02/2026 07:06:06,85546,173,,YOUTHSTATS,Youth Labour Market Indicators (YouthSTATS),UNE,Unemployment,YOUTHSTATS,Youth Labour Market Indicators (YouthSTATS)
EAR_EMTA_SEX_NB_A,EAR_EMTA_SEX_NB,Average monthly earnings of employees by sex (local currency),A,Annual,EAR_EMTA_NB,Average monthly earnings of employees,SEX,1989,2025,25/02/2026 07:04:40,5098,156,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTA_SEX_CUR_NB_A,EAR_EMTA_SEX_CUR_NB,Average monthly earnings of employees by sex and currency,A,Annual,EAR_EMTA_NB,Average monthly earnings of employees,"SEX,CUR",1969,2025,26/02/2026 07:05:04,22064,192,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTA_SEX_AGE_NB_A,EAR_EMTA_SEX_AGE_NB,Average monthly earnings of employees by sex and age (local currency),A,Annual,EAR_EMTA_NB,Average monthly earnings of employees,"SEX,AGE",1989,2025,25/02/2026 07:04:40,74155,156,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTA_SEX_AGE_CUR_NB_A,EAR_EMTA_SEX_AGE_CUR_NB,"Average monthly earnings of employees by sex, age and currency",A,Annual,EAR_EMTA_NB,Average monthly earnings of employees,"SEX,AGE,CUR",1989,2025,26/02/2026 07:05:04,113645,154,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTA_SEX_EDU_NB_A,EAR_EMTA_SEX_EDU_NB,Average monthly earnings of employees by sex and education (local currency),A,Annual,EAR_EMTA_NB,Average monthly earnings of employees,"SEX,EDU",1989,2025,25/02/2026 07:04:40,53736,148,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTA_SEX_EDU_CUR_NB_A,EAR_EMTA_SEX_EDU_CUR_NB,"Average monthly earnings of employees by sex, education and currency",A,Annual,EAR_EMTA_NB,Average monthly earnings of employees,"SEX,EDU,CUR",1989,2025,26/02/2026 07:05:04,148393,147,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
