feature,mean_importance,target,horizon
inflation_cpi_yoy_z,0.0068167714875,Elevated spike,7
fx_vol_30d_z,0.006795665859999999,Elevated spike,7
gdp_per_capita_growth_z,0.00664527384375,Elevated spike,7
gta_30d_count_z,0.0065052953725,Elevated spike,7
labour_conflict_index,0.006126621325,Elevated spike,7
fx_vol_7d,0.0059253439075,Elevated spike,7
oil_brent_pct_14d,0.00582693038,Elevated spike,7
fx_pct_30d_z,0.0054584216676,Elevated spike,7
fx_pct_30d_x_instability,0.005434759224,Elevated spike,7
violence_7d_lag,0.00527379998,Elevated spike,7
earnings_monthly,0.004715189636842105,Elevated spike,7
riot_7d_lag,0.00438996385,Elevated spike,7
fao_food_index_yoy_above90,0.0041978317,Elevated spike,7
protest_fat_28d_lag,0.004155707329999999,Elevated spike,7
earnings_monthly_z,0.004091977566666667,Elevated spike,7
fx_pct_30d,0.00353534084,Elevated spike,7
fao_cereals_index_yoy_above90,0.003335161925,Elevated spike,7
fx_pct_7d,0.0030038321425,Elevated spike,7
gta_harmful_events,0.00107195582019,Elevated spike,7
gta_liberalising_events,0.00064579569045,Elevated spike,7
protest_fat_7d_lag,0.000401548805,Elevated spike,7
acled_28d_lag,0.0654369353,Elevated spike,30
month_cos,0.0529381828625,Elevated spike,30
acled_7d_lag,0.046868519065,Elevated spike,30
fao_cereals_index_yoy_lag6m,0.040435689425,Elevated spike,30
voice_accountability_est,0.033897888249999994,Elevated spike,30
fao_food_index_yoy,0.0337587987975,Elevated spike,30
fao_oils_index_yoy,0.033134489375,Elevated spike,30
labour_conflict_index_z,0.0325938290075,Elevated spike,30
unemployment_youth,0.03202868895,Elevated spike,30
political_stability_est,0.0245280329475,Elevated spike,30
fao_food_yoy_x_youth_unemp,0.023017941275000002,Elevated spike,30
food_cpi_inflation_z,0.02100351257625,Elevated spike,30
government_effectiveness_est,0.02075026882,Elevated spike,30
rule_of_law_est,0.020229725339999997,Elevated spike,30
fao_cereals_index_yoy_lag3m,0.0189661179225,Elevated spike,30
unemployment_rate,0.0187511914475,Elevated spike,30
unemployment_rate_z,0.018700372362500002,Elevated spike,30
energy_cpi_inflation_z,0.018641959745,Elevated spike,30
yield_us10y,0.018165427745,Elevated spike,30
gta_90d_count,0.0175181244175,Elevated spike,30
month_sin,0.0173645177825,Elevated spike,30
riot_28d_lag,0.017063360815,Elevated spike,30
fao_cereals_yoy_x_instability,0.0166321550175,Elevated spike,30
fao_cereals_index_yoy_lag1m,0.01662129206975,Elevated spike,30
energy_cpi_inflation,0.015945808525,Elevated spike,30
fao_food_index_yoy_lag1m,0.014379415279999998,Elevated spike,30
gdp_growth,0.014370564890000001,Elevated spike,30
food_cpi_inflation,0.01424180927,Elevated spike,30
unemployment_total,0.014239372642500001,Elevated spike,30
unemployment_youth_z,0.013857970659375,Elevated spike,30
unemployment_sa_z,0.013371544587500001,Elevated spike,30
fao_cereals_index_yoy,0.013075738889999999,Elevated spike,30
inflation_cpi_yoy,0.0129789357175,Elevated spike,30
gta_liberalising_events_z,0.0129603956325,Elevated spike,30
gta_harmful_events_z,0.012526701078999999,Elevated spike,30
fao_food_index_yoy_lag3m,0.0125249714875,Elevated spike,30
inflation_cpi_yoy_z,0.01211507078125,Elevated spike,30
violence_28d_lag,0.01136845725,Elevated spike,30
economic_stress_index_z,0.011247422573,Elevated spike,30
gta_90d_count_z,0.011157056995000001,Elevated spike,30
gdp_growth_z,0.010852615790625,Elevated spike,30
fx_vol_30d,0.010483623705,Elevated spike,30
government_effectiveness_est_z,0.01009373809375,Elevated spike,30
gdp_per_capita_growth,0.009419976725,Elevated spike,30
unemployment_total_z,0.0092773833125,Elevated spike,30
economic_stress_index,0.009048265980000001,Elevated spike,30
fx_pct_90d,0.008623498862499999,Elevated spike,30
rule_of_law_est_z,0.008163121528125,Elevated spike,30
unemployment_sa,0.0081520352225,Elevated spike,30
gta_30d_count_z,0.008114236764,Elevated spike,30
protest_mobilisation_index,0.008082936990000001,Elevated spike,30
fx_vol_30d_z,0.008004582327499999,Elevated spike,30
fx_pct_30d_z,0.007733137795250001,Elevated spike,30
riot_7d_lag,0.007569324461999999,Elevated spike,30
voice_accountability_est_z,0.007373105328125001,Elevated spike,30
gdp_per_capita_growth_z,0.0072995482437500005,Elevated spike,30
fao_food_index_yoy_above90,0.0070947084675,Elevated spike,30
political_stability_est_z,0.00690799816875,Elevated spike,30
gta_30d_count,0.00621339086475,Elevated spike,30
protest_mobilisation_index_z,0.0060408917525,Elevated spike,30
oil_brent_pct_30d_x_inflation,0.0060332952885,Elevated spike,30
earnings_monthly_z,0.005960728127777777,Elevated spike,30
oil_brent_pct_30d,0.005913821039,Elevated spike,30
oil_brent_pct_30d_z,0.00566968285125,Elevated spike,30
labour_conflict_index,0.005362689665,Elevated spike,30
fx_pct_30d_x_instability,0.005072719945499999,Elevated spike,30
oil_brent_pct_14d,0.0047629731247500005,Elevated spike,30
fx_pct_30d,0.0038568835125,Elevated spike,30
earnings_monthly,0.003778978589473684,Elevated spike,30
fao_cereals_index_yoy_above90,0.0032813521025,Elevated spike,30
fx_vol_7d,0.00314036104375,Elevated spike,30
violence_7d_lag,0.00257159447,Elevated spike,30
fx_pct_7d,0.0021636843295,Elevated spike,30
protest_fat_28d_lag,0.001475797275,Elevated spike,30
gta_liberalising_events,0.0007391642825,Elevated spike,30
gta_harmful_events,0.00027387300347499996,Elevated spike,30
protest_fat_7d_lag,0.00027229981500000004,Elevated spike,30
