globaleventid,sqldate,ingest_time,eventcode,eventbasecode,eventrootcode,quadclass,numentions,numsources,numarticles,avgtone,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_adm2code,actiongeo_lat,actiongeo_lon,actiongeo_featureid,dateadded,sourceurl
1149157987,20240101,20240101000000,0831,083,08,2,10,1,10,2.8235294117647,France,FR,FR,,46,2,FR,20240101000000,https://www.easternriverinachronicle.com.au/story/8473404/denmarks-queen-margrethe-announces-surprise-abdication/?cs=6364
1149158003,20240101,20240101000000,0831,083,08,2,10,1,10,2.83018867924529,"Paris, France (general), France",FR,FR00,16282,48.8667,2.33333,-1456928,20240101000000,https://www.kunm.org/npr-news/2023-12-31/denmarks-queen-margrethe-ii-to-step-down-on-jan-14-after-50-years-on-the-throne
1149158004,20240101,20240101000000,0831,083,08,2,10,1,10,2.06677265500795,"Copenhagen, Køavn*, Denmark",DA,DA05,15213,55.6667,12.5833,-2745636,20240101000000,https://japantoday.com/category/world/denmark%E2%80%99s-queen-margrethe-ii-to-step-down-from-throne-on-jan.-14
1149158032,20240101,20240101000000,012,012,01,1,10,1,10,-1.35135135135136,,,,,,,,20240101000000,https://www.theunionjournal.com/chief-justice-roberts-sees-promise-and-danger-of-a-i-in-the-courts/
1149158051,20240101,20240101000000,043,043,04,1,10,1,10,0.612745098039214,,,,,,,,20240101000000,https://news.webindia123.com/news/Articles/India/20240101/4154566.html
1149158052,20240101,20240101000000,190,190,19,4,8,1,8,-0.16181229773463,Italy,IT,IT,,42.833333,12.833333,IT,20240101000000,https://www.ansa.it/english/news/politics/2023/12/31/love-not-possession-culture-of-peace-needed-says-mattarella_4b315192-e280-4a4a-9be9-5e1bc0ad7146.html
1149158053,20240101,20240101000000,010,010,01,1,10,1,10,-2.91375291375292,New Zealand,NZ,NZ,,-42,174,NZ,20240101000000,https://www.ynetnews.com/article/sycbjs1ot
1149158075,20240101,20240101000000,020,020,02,1,5,1,5,3.11804008908686,Spain,SP,SP,,40,-4,SP,20240101000000,https://www.apartmenttherapy.com/best-free-language-learning-apps-37360748
1149158081,20240101,20240101000000,042,042,04,1,8,1,8,-0.94637223974763,"Fota, Jiangsu, China",CH,CH04,13153,32.8446,119.491,11430265,20240101000000,https://www.theportugalnews.com/news/2023-12-31/langur-monkey-born-in-fota-wildlife/84600
1149158108,20240101,20240101000000,042,042,04,1,5,1,5,3.84615384615385,,,,,,,,20240101000000,https://411mania.com/wrestling/tony-khan-teases-active-free-agency-market-2024/
1149158121,20240101,20240101000000,040,040,04,1,6,3,6,0.7380073800738,United Kingdom,UK,UK,,54,-4,UK,20240101000000,https://www.wesh.com/article/mickey-mouse-will-soon-belong-to-you-and-me/46129501
1149158129,20240101,20240101000000,010,010,01,1,5,1,5,-2.10403272939801,Italy,IT,IT,,42.833333,12.833333,IT,20240101000000,https://www.eurasiareview.com/01012024-pakistan-election-2024-will-be-meaningless-if-future-of-democracy-remains-in-limbo-in-country-oped/
1149158131,20240101,20240101000000,010,010,01,1,20,2,20,-3.44827586206897,"Hawaii, United States",US,USHI,,21.1098,-157.531,HI,20240101000000,https://www.meadvilletribune.com/news/surfer-dies-after-shark-encounter-in-hawaii/article_9e12dfb4-dbb8-562b-8961-53642d8e4696.html
1149158134,20240101,20240101000000,020,020,02,1,5,1,5,0,,,,,,,,20240101000000,https://fox4beaumont.com/news/fireworks-cause-minor-brush-fire-in-hardin-county
1149158136,20240101,20240101000000,020,020,02,1,10,1,10,-10.5263157894737,"Sacramento County, California, United States",US,USCA,,38.4666,-121.318,277298,20240101000000,https://abcnews.go.com/US/10-year-california-charged-alleged-murder-10-year/story?id=106023957
1149158137,20240101,20240101000000,020,020,02,1,20,1,10,-2.24032586558045,United Kingdom,UK,UK,,54,-4,UK,20240101000000,https://www.aol.co.uk/nearly-quarter-britons-tried-failed-223000364.html
1149158138,20240101,20240101000000,036,036,03,1,10,1,10,7.35294117647059,,,,,,,,20240101000000,https://events.qns.com/event/3-kings-celebration/
1149158145,20240101,20240101000000,110,110,11,3,5,1,5,-4.07079646017699,United States,US,US,,39.828175,-98.5795,US,20240101000000,https://www.theblaze.com/columns/opinion/macintyre-target-blames-extremism-to-avoid-bud-lights-fate
1149158146,20240101,20240101000000,111,111,11,3,3,1,3,-9.96015936254984,United States,US,US,,39.828175,-98.5795,US,20240101000000,https://www.ctinsider.com/fairfield/news/world/article/in-rare-apology-israeli-minister-says-she-18582845.php
1149158167,20240101,20240101000000,070,070,07,2,10,1,10,10.4283054003724,"Accra, Greater Accra, Ghana",GH,GH01,190655,5.55,-0.216667,-2067935,20240101000000,https://www.modernghana.com/news/1282921/a-legacy-of-success-prince-sadat-change-makers.html
1149158168,20240101,20240101000000,111,111,11,3,5,1,5,-6.48648648648649,Ghana,GH,GH,,8,-2,GH,20240101000000,https://www.herald.co.zw/ghana-parly-passes-flat-5pc-tax-on-commercial-properties/
1149158191,20240101,20240101000000,020,020,02,1,8,1,8,-3.01318267419962,Pakistan,PK,PK,,30,70,PK,20240101000000,https://news.yahoo.com/watch-nye-celebrations-roll-across-213517723.html
1149158195,20240101,20240101000000,1123,112,11,3,4,1,4,-8.78661087866109,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167,-1044367,20240101000000,https://www.journalgazette.net/news/world/russia-launches-fresh-drone-strikes-in-ukraine-after-promising-retaliation-for-belgorod-attack/article_cd7e5aba-005a-54d5-bf97-417ccd40c2d1.html
1149158212,20240101,20240101000000,160,160,16,4,16,2,16,-1.75193686961851,"Dallas, Texas, United States",US,USTX,TX113,32.7831,-96.8067,1380944,20240101000000,https://news.yahoo.com/influential-former-texas-us-rep-230411020.html
1149158213,20240101,20240101000000,160,160,16,4,2,1,2,-1.66204986149585,"Texas, United States",US,USTX,,31.106,-97.6475,TX,20240101000000,https://www.ctinsider.com/fairfield/news/politics/article/influential-former-texas-us-rep-eddie-bernice-18583079.php
1149158223,20240101,20240101000000,120,120,12,3,4,1,4,-9.38967136150234,Malaysia,MY,MY,,2.5,112.5,MY,20240101000000,https://www.journalgazette.net/news/world/more-rohingya-refugees-arrive-in-indonesia-despite-rejection-from-locals/article_539aaa11-41ca-5978-ba8a-a1463284b437.html
1149158252,20240101,20240101000000,160,160,16,4,2,1,2,-1.6597510373444,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,20240101000000,https://www.jpost.com/opinion/article-780237
