model_name,feature,mean_abs_shap
model7_xgb_nobaseline,fe__country_iso3_TUR,0.0
model7_xgb_nobaseline,fe__country_iso3_USA,0.0
model7_xgb_nobaseline,fe__country_iso3_VNM,0.0
model7_xgb_nobaseline,num__covid_period,0.0
model7_xgb_nobaseline,num__fao_cereals_index_yoy_above90,0.0
model7_xgb_nobaseline,num__fao_cereals_index_yoy_lag6m,0.0
model7_xgb_nobaseline,num__fao_food_index_yoy_above90,0.0
model7_xgb_nobaseline,num__fao_food_index_yoy_lag6m,0.0
model7_xgb_nobaseline,num__fao_oils_index_yoy_lag1m,0.0
model7_xgb_nobaseline,num__fx_trend_consistent,0.0
model7_xgb_nobaseline,num__gta_harmful_events,0.0
model7_xgb_nobaseline,num__gta_liberalising_events,0.0
model7_xgb_nobaseline,num__inflation_accel,0.0
model7_xgb_nobaseline,num__oil_brent_pct_30d,0.0
model7_xgb_nobaseline,num__vix_pct_30d,0.0
