model_name,feature,mean_abs_shap,mean_shap
model6_xgb_nolag,num__gta_harmful_events,0.0,0.0
model6_xgb_nolag,num__gta_liberalising_events,0.0,0.0
model6_xgb_nolag,num__inflation_accel,0.0,0.0
model6_xgb_nolag,num__inflation_cpi_yoy,0.0,0.0
model6_xgb_nolag,num__inflation_cpi_yoy_z,0.0,0.0
model6_xgb_nolag,num__oil_brent_pct_14d,0.0,0.0
model6_xgb_nolag,num__platinum_pct_30d_x_plat_prod,0.0,0.0
model6_xgb_nolag,num__political_stability_est,0.0,0.0
model6_xgb_nolag,num__rule_of_law_est,0.0,0.0
model6_xgb_nolag,num__silver_pct_30d,0.0,0.0
model6_xgb_nolag,num__unemployment_total,0.0,0.0
model6_xgb_nolag,num__unemployment_youth,0.0,0.0
model6_xgb_nolag,num__vix_level,0.0,0.0
model6_xgb_nolag,num__voice_accountability_est,0.0,0.0
