feature,importance,fold_id,event_type,horizon,model_name
fe__country_iso3_ITA,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_JPN,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_KEN,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_KOR,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_LAO,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_MAR,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_MEX,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_MOZ,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_MYS,0.018273171,1,protest,7,model6_xgb_nolag
fe__country_iso3_NAM,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_NLD,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_NOR,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_PER,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_PHL,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_POL,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_PRT,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_SWE,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_THA,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_TUR,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_USA,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_VNM,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_ZAF,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_ZWE,0.0,1,protest,7,model6_xgb_nolag
num__gdelt_protest_7d_lag,0.078007065,1,protest,7,model7_xgb_nobaseline
num__gdelt_protest_28d_lag,0.13068622,1,protest,7,model7_xgb_nobaseline
num__gdelt_strike_7d_lag,0.14642487,1,protest,7,model7_xgb_nobaseline
num__gdelt_strike_28d_lag,0.028019423,1,protest,7,model7_xgb_nobaseline
num__gdelt_protest_region_14d,0.005110749,1,protest,7,model7_xgb_nobaseline
num__gdelt_strike_region_14d,0.0050887503,1,protest,7,model7_xgb_nobaseline
num__fx_pct_7d,0.005946,1,protest,7,model7_xgb_nobaseline
num__fx_pct_30d,0.003556817,1,protest,7,model7_xgb_nobaseline
num__fx_pct_90d,0.0034928818,1,protest,7,model7_xgb_nobaseline
num__fx_vol_7d,0.007657273,1,protest,7,model7_xgb_nobaseline
num__fx_vol_30d,0.010136245,1,protest,7,model7_xgb_nobaseline
num__oil_brent_pct_14d,0.0035351743,1,protest,7,model7_xgb_nobaseline
num__oil_brent_pct_30d,0.0067731775,1,protest,7,model7_xgb_nobaseline
num__yield_us10y,0.0031008737,1,protest,7,model7_xgb_nobaseline
num__fx_pct_30d_z,0.0023162966,1,protest,7,model7_xgb_nobaseline
num__fx_vol_30d_z,0.006015965,1,protest,7,model7_xgb_nobaseline
num__oil_brent_pct_30d_z,0.0031452912,1,protest,7,model7_xgb_nobaseline
num__copper_pct_30d,0.003792817,1,protest,7,model7_xgb_nobaseline
num__copper_pct_90d,0.0039384067,1,protest,7,model7_xgb_nobaseline
num__copper_vol_30d,0.0037762667,1,protest,7,model7_xgb_nobaseline
num__gold_pct_30d,0.0050026313,1,protest,7,model7_xgb_nobaseline
num__gold_vol_30d,0.005548471,1,protest,7,model7_xgb_nobaseline
num__platinum_pct_30d,0.0034004773,1,protest,7,model7_xgb_nobaseline
num__silver_pct_30d,0.0033768173,1,protest,7,model7_xgb_nobaseline
num__natgas_pct_30d,0.004412764,1,protest,7,model7_xgb_nobaseline
num__vix_level,0.0025529661,1,protest,7,model7_xgb_nobaseline
num__vix_pct_30d,0.003123254,1,protest,7,model7_xgb_nobaseline
num__vix_7d_ma,0.0015164457,1,protest,7,model7_xgb_nobaseline
num__dxy_level,0.0062351124,1,protest,7,model7_xgb_nobaseline
num__dxy_pct_30d,0.004175119,1,protest,7,model7_xgb_nobaseline
num__dxy_vol_30d,0.006443317,1,protest,7,model7_xgb_nobaseline
num__oil_brent_pct_30d_lag30d,0.00302446,1,protest,7,model7_xgb_nobaseline
num__oil_brent_pct_30d_lag60d,0.0035882408,1,protest,7,model7_xgb_nobaseline
num__oil_brent_pct_30d_lag90d,0.0044314354,1,protest,7,model7_xgb_nobaseline
num__vix_pct_30d_lag30d,0.004480101,1,protest,7,model7_xgb_nobaseline
num__vix_pct_30d_lag60d,0.004414513,1,protest,7,model7_xgb_nobaseline
num__fx_pct_30d_lag30d,0.0049135,1,protest,7,model7_xgb_nobaseline
num__fx_pct_30d_lag60d,0.0035218773,1,protest,7,model7_xgb_nobaseline
num__gdp_growth,0.008944521,1,protest,7,model7_xgb_nobaseline
num__gdp_per_capita_growth,0.01701678,1,protest,7,model7_xgb_nobaseline
num__inflation_cpi_yoy,0.0072701974,1,protest,7,model7_xgb_nobaseline
num__inflation_cpi_yoy_z,0.0037889888,1,protest,7,model7_xgb_nobaseline
num__unemployment_total,0.008076419,1,protest,7,model7_xgb_nobaseline
num__unemployment_youth,0.014139858,1,protest,7,model7_xgb_nobaseline
num__unemployment_sa,0.012443286,1,protest,7,model7_xgb_nobaseline
num__unemployment_rate,0.012010043,1,protest,7,model7_xgb_nobaseline
num__unemployment_rate_z,0.01114898,1,protest,7,model7_xgb_nobaseline
num__political_stability_est,0.011002558,1,protest,7,model7_xgb_nobaseline
num__voice_accountability_est,0.008242932,1,protest,7,model7_xgb_nobaseline
num__government_effectiveness_est,0.0053128703,1,protest,7,model7_xgb_nobaseline
num__rule_of_law_est,0.010319708,1,protest,7,model7_xgb_nobaseline
num__fx_pct_30d_x_instability,0.00430002,1,protest,7,model7_xgb_nobaseline
num__oil_brent_pct_30d_x_inflation,0.002049405,1,protest,7,model7_xgb_nobaseline
num__food_cpi_inflation,0.004161979,1,protest,7,model7_xgb_nobaseline
num__food_cpi_inflation_z,0.0071799275,1,protest,7,model7_xgb_nobaseline
num__energy_cpi_inflation,0.006829829,1,protest,7,model7_xgb_nobaseline
num__energy_cpi_inflation_z,0.0049259537,1,protest,7,model7_xgb_nobaseline
num__gini_coef,0.011360327,1,protest,7,model7_xgb_nobaseline
num__covid_period,0.0,1,protest,7,model7_xgb_nobaseline
num__fx_trend_consistent,0.0,1,protest,7,model7_xgb_nobaseline
num__inflation_accel,0.0,1,protest,7,model7_xgb_nobaseline
num__copper_pct_30d_x_copper_prod,0.007610012,1,protest,7,model7_xgb_nobaseline
num__gold_pct_30d_x_gold_prod,0.0,1,protest,7,model7_xgb_nobaseline
num__platinum_pct_30d_x_plat_prod,0.0,1,protest,7,model7_xgb_nobaseline
num__oil_brent_pct_30d_x_net_importer,0.0049183583,1,protest,7,model7_xgb_nobaseline
num__month_sin,0.005180733,1,protest,7,model7_xgb_nobaseline
num__month_cos,0.008107924,1,protest,7,model7_xgb_nobaseline
num__fao_food_index_yoy,0.003929819,1,protest,7,model7_xgb_nobaseline
num__fao_cereals_index_yoy,0.005242301,1,protest,7,model7_xgb_nobaseline
num__fao_oils_index_yoy,0.0007627483,1,protest,7,model7_xgb_nobaseline
num__fao_food_index_yoy_above90,0.0,1,protest,7,model7_xgb_nobaseline
num__fao_cereals_index_yoy_above90,0.0,1,protest,7,model7_xgb_nobaseline
num__fao_cereals_index_yoy_lag1m,0.002227743,1,protest,7,model7_xgb_nobaseline
num__fao_cereals_index_yoy_lag3m,0.006554229,1,protest,7,model7_xgb_nobaseline
num__fao_cereals_index_yoy_lag6m,0.004801439,1,protest,7,model7_xgb_nobaseline
num__fao_food_index_yoy_lag1m,0.007430958,1,protest,7,model7_xgb_nobaseline
num__fao_food_index_yoy_lag3m,0.0026552055,1,protest,7,model7_xgb_nobaseline
num__fao_food_index_yoy_lag6m,0.0050602728,1,protest,7,model7_xgb_nobaseline
num__fao_oils_index_yoy_lag1m,0.0028330719,1,protest,7,model7_xgb_nobaseline
num__fao_oils_index_yoy_lag3m,0.0051091965,1,protest,7,model7_xgb_nobaseline
num__fao_oils_index_yoy_lag6m,0.0063743535,1,protest,7,model7_xgb_nobaseline
num__fao_cereals_yoy_x_instability,0.005336864,1,protest,7,model7_xgb_nobaseline
num__fao_food_yoy_x_youth_unemp,0.0053068604,1,protest,7,model7_xgb_nobaseline
num__gta_harmful_events,0.0,1,protest,7,model7_xgb_nobaseline
num__gta_harmful_events_z,0.007281754,1,protest,7,model7_xgb_nobaseline
num__gta_liberalising_events,0.0,1,protest,7,model7_xgb_nobaseline
num__gta_liberalising_events_z,0.0028142608,1,protest,7,model7_xgb_nobaseline
num__gta_30d_count,0.005389232,1,protest,7,model7_xgb_nobaseline
num__gta_30d_count_z,0.0027536135,1,protest,7,model7_xgb_nobaseline
num__gta_90d_count,0.010637584,1,protest,7,model7_xgb_nobaseline
num__gta_90d_count_z,0.0052872137,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_AUS,0.0,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_BOL,0.0,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_BRA,0.0,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_CAN,0.0,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_CHL,0.0045164875,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_CHN,0.0,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_DEU,0.0107127335,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_ESP,0.0,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_FRA,0.01629182,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_GBR,0.0,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_GRC,0.0081334505,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_HUN,0.0077299178,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_IDN,0.0,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_IND,0.0,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_IRL,0.006967929,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_ITA,0.0042359135,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_JPN,0.010131978,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_KEN,0.0,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_KOR,0.0074235587,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_LAO,0.015476212,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_MAR,0.0,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_MEX,0.0,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_MOZ,0.008917476,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_MYS,0.01730483,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_NAM,0.0095802015,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_NLD,0.0,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_NOR,0.006467868,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_PER,0.00650107,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_PHL,0.008940247,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_POL,0.0,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_PRT,0.00789302,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_SWE,0.0,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_THA,0.0,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_TUR,0.0,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_USA,0.0,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_VNM,0.0071303356,1,protest,7,model7_xgb_nobaseline
fe__country_iso3_ZAF,0.0068325326,1,protest,7,model7_xgb_nobaseline
