feature,importance,model_name
num__oil_brent_pct_30d_lag60d,0.004563986323773861,model6_xgb_nolag
num__month_sin,0.004505513235926628,model6_xgb_nolag
num__fao_cereals_index_yoy_lag1m,0.004393550101667643,model6_xgb_nolag
num__fx_vol_30d_z,0.004374734126031399,model6_xgb_nolag
num__copper_pct_30d_x_copper_prod,0.0043415832333266735,model6_xgb_nolag
fe__country_iso3_BOL,0.004157316870987415,model6_xgb_nolag
num__fao_food_index_yoy_lag6m,0.003919366747140884,model6_xgb_nolag
num__fao_cereals_index_yoy_lag6m,0.003875870257616043,model6_xgb_nolag
num__copper_pct_90d,0.003728022100403905,model6_xgb_nolag
num__gta_30d_count,0.0036959275603294373,model6_xgb_nolag
num__fx_pct_30d_lag60d,0.0036754326429218054,model6_xgb_nolag
num__fao_cereals_yoy_x_instability,0.003634244669228792,model6_xgb_nolag
num__oil_brent_pct_30d_lag90d,0.0035598822869360447,model6_xgb_nolag
num__dxy_level,0.0035278168506920338,model6_xgb_nolag
num__gta_90d_count_z,0.003458996769040823,model6_xgb_nolag
fe__country_iso3_HUN,0.003324952907860279,model6_xgb_nolag
num__fx_pct_90d,0.003297679591923952,model6_xgb_nolag
num__inflation_accel,0.00317438249476254,model6_xgb_nolag
fe__country_iso3_IDN,0.003168879309669137,model6_xgb_nolag
num__gold_vol_30d,0.0031532766297459602,model6_xgb_nolag
num__yield_us10y,0.0030890177004039288,model6_xgb_nolag
num__fao_food_yoy_x_youth_unemp,0.003077019704505801,model6_xgb_nolag
num__copper_vol_30d,0.0030140511225908995,model6_xgb_nolag
num__oil_brent_pct_30d_z,0.0030121472664177418,model6_xgb_nolag
num__fao_oils_index_yoy_lag3m,0.0028899149037897587,model6_xgb_nolag
num__vix_pct_30d,0.0028558638878166676,model6_xgb_nolag
num__gta_30d_count_z,0.00281107728369534,model6_xgb_nolag
fe__country_iso3_NAM,0.0027992273680865765,model6_xgb_nolag
num__vix_pct_30d_lag30d,0.0026721402537077665,model6_xgb_nolag
num__fao_oils_index_yoy_lag6m,0.002629536436870694,model6_xgb_nolag
num__natgas_pct_30d,0.0026075933128595352,model6_xgb_nolag
num__platinum_pct_30d,0.002598704770207405,model6_xgb_nolag
num__oil_brent_pct_30d_x_inflation,0.0025611459277570248,model6_xgb_nolag
num__fx_vol_7d,0.0025475560687482357,model6_xgb_nolag
num__vix_pct_30d_lag60d,0.00243185181170702,model6_xgb_nolag
fe__country_iso3_IRL,0.002351942006498575,model6_xgb_nolag
num__oil_brent_pct_30d_x_net_importer,0.00233557540923357,model6_xgb_nolag
num__fx_pct_30d_lag30d,0.0023163757286965847,model6_xgb_nolag
num__oil_brent_pct_30d_lag30d,0.0022582681849598885,model6_xgb_nolag
num__inflation_cpi_yoy_z,0.002245951909571886,model6_xgb_nolag
num__oil_brent_pct_14d,0.0022304547019302845,model6_xgb_nolag
num__fx_pct_7d,0.002218063920736313,model6_xgb_nolag
num__fao_cereals_index_yoy,0.0020317640155553818,model6_xgb_nolag
num__copper_pct_30d,0.0019511701539158821,model6_xgb_nolag
num__oil_brent_pct_30d,0.001922014867886901,model6_xgb_nolag
num__fao_food_index_yoy,0.0018855013186112046,model6_xgb_nolag
num__dxy_pct_30d,0.001849733293056488,model6_xgb_nolag
num__fx_trend_consistent,0.0018218662589788437,model6_xgb_nolag
